Gender|Customer Type|Age|Type of Travel|Class|Flight Distance|Food and drink|On-board service|Leg room service|Departure Delay in Minutes|satisfaction|Customer ID|isPilot
Female|Loyal Customer|58.0|Personal Travel|Eco|391|4|1|1|0|neutral or dissatisfied|17094|False
Female|Loyal Customer|54.0|Business travel|Eco|399|2|4|4|0|neutral or dissatisfied|17095|False
Female|Loyal Customer|45.0|Business travel|Business|3743|3|2|2|0|neutral or dissatisfied|17096|False
Female|Loyal Customer|27.0|Personal Travel|Eco|255|5|3|2|84|neutral or dissatisfied|17097|False
Female|disloyal Customer|24.0|Business travel|Eco|226|2|5|2|8|satisfied|17098|False
Male|Loyal Customer|44.0|Personal Travel|Eco|364|3|5|5|1|neutral or dissatisfied|17099|False
Female|disloyal Customer|24.0|Business travel|Eco|296|2|5|4|0|satisfied|17100|False
Male|Loyal Customer|46.0|Business travel|Business|3325|5|5|5|5|satisfied|17101|False
Female|disloyal Customer|25.0|Business travel|Business|414|4|4|4|0|satisfied|17102|False
Male|Loyal Customer|61.0|Business travel|Business|226|5|4|4|26|satisfied|17103|False
Male|Loyal Customer|47.0|Personal Travel|Eco|2419|3|5|2|9|neutral or dissatisfied|17104|False
Male|Loyal Customer|65.0|Personal Travel|Business|562|5|4|1|8|neutral or dissatisfied|17105|False
Female|Loyal Customer|53.0|Personal Travel|Eco|486|3|5|4|12|neutral or dissatisfied|17106|False
Male|Loyal Customer|65.0|Personal Travel|Eco|483|4|2|5|0|neutral or dissatisfied|17107|False
Female|Loyal Customer|29.0|Personal Travel|Eco|1609|4|5|3|11|satisfied|17108|False
Female|Loyal Customer|19.0|Personal Travel|Business|907|2|3|5|0|neutral or dissatisfied|17109|False
Female|Loyal Customer|49.0|Business travel|Business|1562|5|4|4|0|satisfied|17110|False
Female|Loyal Customer|16.0|Business travel|Eco Plus|620|1|2|4|0|neutral or dissatisfied|17111|False
Female|Loyal Customer|35.0|Business travel|Business|358|2|5|5|0|satisfied|17112|False
Male|Loyal Customer|50.0|Business travel|Business|1067|3|5|5|0|satisfied|17113|False
Male|disloyal Customer|25.0|Business travel|Eco|838|5|1|3|0|neutral or dissatisfied|17114|False
Female|Loyal Customer|40.0|Business travel|Business|2334|5|5|5|50|satisfied|17115|False
Female|Loyal Customer|42.0|Business travel|Business|1024|3|5|4|11|satisfied|17116|False
Female|Loyal Customer|53.0|Business travel|Business|733|3|5|5|0|satisfied|17117|False
Female|Loyal Customer|38.0|Business travel|Business|1937|5|5|5|0|satisfied|17118|False
Male|Loyal Customer|39.0|Business travel|Eco|341|2|3|3|0|neutral or dissatisfied|17119|False
Male|Loyal Customer|32.0|Business travel|Eco|135|3|2|4|68|neutral or dissatisfied|17120|False
Female|disloyal Customer|50.0|Business travel|Business|163|2|3|5|0|neutral or dissatisfied|17121|False
Male|Loyal Customer|27.0|Personal Travel|Eco|307|5|1|2|0|neutral or dissatisfied|17122|False
Male|disloyal Customer|20.0|Business travel|Business|453|5|5|4|8|satisfied|17123|False
Female|Loyal Customer|26.0|Personal Travel|Eco Plus|1097|5|4|2|0|neutral or dissatisfied|17124|False
Female|Loyal Customer|70.0|Personal Travel|Eco Plus|1199|5|5|2|3|neutral or dissatisfied|17125|False
Female|Loyal Customer|23.0|Business travel|Business|414|5|1|5|10|neutral or dissatisfied|17126|False
Female|Loyal Customer|10.0|Personal Travel|Eco|236|1|5|4|0|neutral or dissatisfied|17127|False
Female|Loyal Customer|50.0|Personal Travel|Business|395|3|3|2|2|neutral or dissatisfied|17128|False
Male|Loyal Customer|33.0|Business travel|Business|3153|3|3|4|0|satisfied|17129|False
Female|Loyal Customer|58.0|Business travel|Business|1123|4|4|4|3|satisfied|17130|False
Female|disloyal Customer|25.0|Business travel|Business|67|3|3|4|26|neutral or dissatisfied|17131|False
Female|disloyal Customer|26.0|Business travel|Eco|716|3|2|3|5|neutral or dissatisfied|17132|False
Male|disloyal Customer|27.0|Business travel|Eco|1010|1|3|1|27|neutral or dissatisfied|17133|False
Female|Loyal Customer|32.0|Personal Travel|Eco|444|5|3|4|21|neutral or dissatisfied|17134|False
Female|disloyal Customer|22.0|Business travel|Eco|187|5|2|1|98|neutral or dissatisfied|17135|False
Female|Loyal Customer|34.0|Business travel|Business|2343|3|3|4|0|satisfied|17136|False
Female|Loyal Customer|43.0|Personal Travel|Eco|456|5|4|1|0|neutral or dissatisfied|17137|False
Male|Loyal Customer|27.0|Business travel|Eco|826|5|3|2|7|satisfied|17138|False
Female|disloyal Customer|25.0|Business travel|Business|2182|5|5|5|7|neutral or dissatisfied|17139|False
Female|Loyal Customer|10.0|Business travel|Eco|1069|4|4|5|0|satisfied|17140|False
Female|Loyal Customer|53.0|Business travel|Business|361|2|4|4|23|satisfied|17141|False
Male|Loyal Customer|18.0|Personal Travel|Eco|1005|4|4|5|1|neutral or dissatisfied|17142|False
Male|Loyal Customer|13.0|Personal Travel|Eco Plus|692|1|5|5|72|neutral or dissatisfied|17143|False
Female|disloyal Customer|29.0|Business travel|Business|640|2|5|3|12|neutral or dissatisfied|17144|False
Male|Loyal Customer|57.0|Personal Travel|Eco|604|4|1|3|0|neutral or dissatisfied|17145|False
Female|Loyal Customer|73.0|Business travel|Eco|259|1|1|2|0|neutral or dissatisfied|17146|False
Male|Loyal Customer|52.0|Business travel|Business|2640|1|4|4|0|satisfied|17147|False
Male|disloyal Customer|23.0|Business travel|Eco|240|4|3|4|0|neutral or dissatisfied|17148|False
Male|Loyal Customer|45.0|Business travel|Business|2621|3|4|4|20|satisfied|17149|False
Female|Loyal Customer|45.0|Personal Travel|Eco|970|5|3|5|0|neutral or dissatisfied|17150|False
Male|Loyal Customer|46.0|Business travel|Business|2263|4|4|4|0|satisfied|17151|False
Male|Loyal Customer|53.0|Business travel|Eco|86|1|1|1|0|neutral or dissatisfied|17152|False
Female|Loyal Customer|42.0|Business travel|Business|1945|4|2|3|152|satisfied|17153|False
Female|Loyal Customer|44.0|Business travel|Eco|451|4|4|5|0|satisfied|17154|False
Female|disloyal Customer|18.0|Business travel|Eco|261|2|4|3|0|neutral or dissatisfied|17155|False
Female|Loyal Customer|62.0|Personal Travel|Eco|119|3|3|1|0|neutral or dissatisfied|17156|False
Male|Loyal Customer|56.0|Personal Travel|Business|1188|3|2|3|21|neutral or dissatisfied|17157|False
Female|Loyal Customer|29.0|Business travel|Business|1601|2|3|4|0|neutral or dissatisfied|17158|False
Male|Loyal Customer|41.0|Personal Travel|Eco|722|3|1|2|0|satisfied|17159|False
Female|Loyal Customer|47.0|Business travel|Eco Plus|143|5|5|5|36|satisfied|17160|False
Male|Loyal Customer|16.0|Personal Travel|Eco|349|1|3|2|0|neutral or dissatisfied|17161|False
Male|Loyal Customer|44.0|Business travel|Business|2621|2|5|5|2|satisfied|17162|False
Male|Loyal Customer|44.0|Business travel|Business|719|3|4|4|2|satisfied|17163|False
Female|Loyal Customer|27.0|Business travel|Business|2593|3|1|1|4|satisfied|17164|False
Female|Loyal Customer|62.0|Business travel|Business|201|5|1|1|0|neutral or dissatisfied|17165|False
Male|Loyal Customer|57.0|Personal Travel|Eco Plus|315|4|3|4|0|neutral or dissatisfied|17166|False
Male|Loyal Customer|36.0|Business travel|Business|220|5|2|2|30|neutral or dissatisfied|17167|False
Male|Loyal Customer|32.0|Personal Travel|Eco|386|5|4|2|12|satisfied|17168|False
Male|Loyal Customer|42.0|Business travel|Business|3737|4|2|2|0|neutral or dissatisfied|17169|False
Male|Loyal Customer|44.0|Personal Travel|Eco|1046|3|4|4|7|neutral or dissatisfied|17170|False
Male|Loyal Customer|30.0|Personal Travel|Eco|711|3|4|2|0|satisfied|17171|False
Male|Loyal Customer|54.0|Business travel|Business|2470|2|4|4|0|satisfied|17172|False
Female|disloyal Customer|23.0|Business travel|Eco|563|2|3|1|0|satisfied|17173|False
Male|Loyal Customer|52.0|Business travel|Business|1944|1|1|1|7|neutral or dissatisfied|17174|False
Male|Loyal Customer|48.0|Business travel|Business|1504|2|2|2|0|neutral or dissatisfied|17175|False
Female|Loyal Customer|44.0|Business travel|Business|1944|3|4|4|8|satisfied|17176|False
Female|Loyal Customer|58.0|Business travel|Business|3862|2|5|5|17|satisfied|17177|False
Female|disloyal Customer|24.0|Business travel|Eco|257|1|3|1|0|neutral or dissatisfied|17178|False
Female|Loyal Customer|30.0|Business travel|Business|153|5|1|2|0|satisfied|17179|False
Male|Loyal Customer|39.0|Business travel|Business|197|3|5|5|25|satisfied|17180|False
Male|Loyal Customer|30.0|Personal Travel|Eco|489|5|3|2|0|neutral or dissatisfied|17181|False
Female|disloyal Customer|50.0|Business travel|Eco|446|4|4|3|12|neutral or dissatisfied|17182|False
Female|Loyal Customer|63.0|Personal Travel|Business|817|4|1|4|192|neutral or dissatisfied|17183|False
Female|Loyal Customer|72.0|Business travel|Business|3637|4|5|5|0|satisfied|17184|False
Male|Loyal Customer|39.0|Business travel|Eco|209|5|2|4|0|satisfied|17185|False
Female|disloyal Customer|22.0|Business travel|Eco|669|5|1|5|2|neutral or dissatisfied|17186|False
Male|Loyal Customer|32.0|Personal Travel|Business|1065|3|3|5|142|neutral or dissatisfied|17187|False
Male|Loyal Customer|39.0|Business travel|Eco Plus|466|2|3|3|32|neutral or dissatisfied|17188|False
Female|Loyal Customer|57.0|Business travel|Business|472|2|5|5|0|satisfied|17189|False
Female|disloyal Customer|37.0|Business travel|Eco|240|2|2|2|45|neutral or dissatisfied|17190|False
Male|Loyal Customer|33.0|Business travel|Business|3416|2|5|1|0|satisfied|17191|False
Female|disloyal Customer|21.0|Business travel|Eco|488|3|4|2|79|neutral or dissatisfied|17192|False
Male|Loyal Customer|27.0|Business travel|Business|2342|5|5|5|0|satisfied|17193|False
Female|Loyal Customer|46.0|Business travel|Business|2637|3|4|4|0|satisfied|17194|False
Male|Loyal Customer|37.0|Business travel|Eco Plus|518|5|2|2|0|satisfied|17195|False
Male|Loyal Customer|38.0|Business travel|Business|3894|2|4|4|0|satisfied|17196|False
Female|Loyal Customer|38.0|Personal Travel|Eco|333|2|4|3|10|neutral or dissatisfied|17197|False
Female|disloyal Customer|24.0|Business travel|Eco|585|5|3|3|89|satisfied|17198|False
Female|disloyal Customer|29.0|Business travel|Eco|1035|2|1|3|42|satisfied|17199|False
Male|Loyal Customer|42.0|Business travel|Business|134|2|5|5|0|satisfied|17200|False
Male|Loyal Customer|12.0|Business travel|Business|1589|3|3|5|59|neutral or dissatisfied|17201|False
Male|disloyal Customer|15.0|Business travel|Eco|946|5|3|2|0|satisfied|17202|False
Male|Loyal Customer|50.0|Business travel|Business|1749|5|5|5|0|satisfied|17203|False
Female|Loyal Customer|57.0|Business travel|Business|895|5|5|5|100|satisfied|17204|False
Female|Loyal Customer|32.0|Business travel|Business|2543|3|1|4|62|satisfied|17205|False
Female|Loyal Customer|12.0|Business travel|Eco|714|4|4|2|33|satisfied|17206|False
Female|disloyal Customer|32.0|Business travel|Business|316|4|5|3|0|neutral or dissatisfied|17207|False
Female|Loyal Customer|59.0|Business travel|Eco|546|5|1|1|0|neutral or dissatisfied|17208|False
Female|Loyal Customer|11.0|Business travel|Business|2625|5|1|2|52|neutral or dissatisfied|17209|False
Male|Loyal Customer|47.0|Business travel|Eco|191|2|4|5|3|neutral or dissatisfied|17210|False
Female|Loyal Customer|33.0|Business travel|Business|2933|5|4|4|0|satisfied|17211|False
Female|disloyal Customer|20.0|Business travel|Eco|319|2|4|3|27|neutral or dissatisfied|17212|False
Female|Loyal Customer|27.0|Business travel|Business|3576|4|3|1|57|satisfied|17213|False
Male|Loyal Customer|37.0|Business travel|Eco|226|2|3|4|1|neutral or dissatisfied|17214|False
Male|Loyal Customer|67.0|Personal Travel|Eco|190|1|4|5|0|neutral or dissatisfied|17215|False
Female|Loyal Customer|45.0|Business travel|Business|3059|4|5|5|0|satisfied|17216|False
Female|disloyal Customer|31.0|Business travel|Eco|850|5|2|3|0|neutral or dissatisfied|17217|False
Male|Loyal Customer|9.0|Business travel|Business|925|2|1|1|8|neutral or dissatisfied|17218|False
Male|Loyal Customer|58.0|Business travel|Business|453|4|5|5|0|satisfied|17219|False
Female|Loyal Customer|10.0|Personal Travel|Eco|946|1|2|1|313|neutral or dissatisfied|17220|False
Male|Loyal Customer|51.0|Business travel|Business|3232|3|5|5|13|satisfied|17221|False
Female|Loyal Customer|16.0|Business travel|Business|3402|2|2|3|0|neutral or dissatisfied|17222|False
Male|Loyal Customer|35.0|Personal Travel|Eco|1195|2|3|3|0|neutral or dissatisfied|17223|False
Female|Loyal Customer|51.0|Personal Travel|Eco|116|1|3|4|0|satisfied|17224|False
Male|Loyal Customer|21.0|Personal Travel|Eco|1562|4|2|4|14|neutral or dissatisfied|17225|False
Female|disloyal Customer|46.0|Business travel|Business|1287|3|4|2|0|satisfied|17226|False
Female|Loyal Customer|61.0|Business travel|Eco|1660|4|4|4|0|neutral or dissatisfied|17227|False
Female|Loyal Customer|54.0|Business travel|Business|1703|3|4|4|7|satisfied|17228|False
Male|Loyal Customer|55.0|Business travel|Business|1916|4|1|2|147|satisfied|17229|False
Female|Loyal Customer|38.0|Personal Travel|Eco|516|1|2|3|0|neutral or dissatisfied|17230|False
Female|Loyal Customer|43.0|Personal Travel|Eco Plus|438|2|4|1|119|neutral or dissatisfied|17231|False
Female|Loyal Customer|33.0|Personal Travel|Eco|349|3|5|4|35|neutral or dissatisfied|17232|False
Female|Loyal Customer|49.0|Personal Travel|Eco Plus|214|1|1|0|2|neutral or dissatisfied|17233|False
Female|Loyal Customer|55.0|Business travel|Business|2212|2|4|4|8|satisfied|17234|False
Male|Loyal Customer|59.0|Personal Travel|Eco|857|5|3|4|0|neutral or dissatisfied|17235|False
Female|Loyal Customer|31.0|Business travel|Business|2556|4|3|2|26|satisfied|17236|False
Male|Loyal Customer|55.0|Business travel|Business|1941|3|4|4|0|satisfied|17237|False
Male|Loyal Customer|48.0|Personal Travel|Eco|502|5|3|3|0|neutral or dissatisfied|17238|False
Female|Loyal Customer|24.0|Personal Travel|Eco|1010|5|2|3|0|neutral or dissatisfied|17239|False
Male|Loyal Customer|51.0|Personal Travel|Eco|501|5|3|2|0|neutral or dissatisfied|17240|False
Female|Loyal Customer|21.0|Business travel|Eco|737|4|3|3|0|satisfied|17241|False
Male|Loyal Customer|55.0|Business travel|Eco|299|1|1|1|45|neutral or dissatisfied|17242|False
Female|disloyal Customer|25.0|Business travel|Eco Plus|997|5|2|2|5|neutral or dissatisfied|17243|False
Male|disloyal Customer|62.0|Business travel|Business|1123|4|2|3|9|neutral or dissatisfied|17244|False
Male|Loyal Customer|45.0|Business travel|Business|2191|3|3|3|0|neutral or dissatisfied|17245|False
Female|Loyal Customer|47.0|Business travel|Business|1256|3|5|5|47|satisfied|17246|False
Male|Loyal Customer|41.0|Personal Travel|Eco|3784|1|3|5|5|neutral or dissatisfied|17247|False
Female|Loyal Customer|27.0|Personal Travel|Eco|591|3|4|4|16|neutral or dissatisfied|17248|False
Male|Loyal Customer|42.0|Personal Travel|Eco|304|2|3|2|10|neutral or dissatisfied|17249|False
Male|disloyal Customer|26.0|Business travel|Business|594|4|5|5|0|neutral or dissatisfied|17250|False
Female|Loyal Customer|57.0|Business travel|Business|164|3|2|2|25|neutral or dissatisfied|17251|False
Female|Loyal Customer|51.0|Business travel|Business|2364|3|4|4|7|satisfied|17252|False
Male|Loyal Customer|50.0|Business travel|Business|1912|4|4|4|1|satisfied|17253|False
Female|Loyal Customer|44.0|Personal Travel|Eco|414|2|3|3|7|neutral or dissatisfied|17254|False
Female|Loyal Customer|16.0|Personal Travel|Business|177|3|4|4|169|neutral or dissatisfied|17255|False
Male|disloyal Customer|32.0|Business travel|Business|239|2|1|4|14|neutral or dissatisfied|17256|False
Male|Loyal Customer|51.0|Business travel|Business|3983|3|5|5|36|satisfied|17257|False
Female|disloyal Customer|10.0|Business travel|Eco|748|2|3|3|0|neutral or dissatisfied|17258|False
Male|Loyal Customer|35.0|Personal Travel|Eco|158|4|5|4|0|satisfied|17259|False
Male|Loyal Customer|34.0|Business travel|Business|3350|1|4|4|0|satisfied|17260|False
Male|Loyal Customer|42.0|Personal Travel|Eco|666|1|3|2|29|neutral or dissatisfied|17261|False
Male|Loyal Customer|68.0|Personal Travel|Eco|645|4|3|2|3|neutral or dissatisfied|17262|False
Female|disloyal Customer|41.0|Business travel|Business|1535|5|3|4|0|neutral or dissatisfied|17263|False
Male|Loyal Customer|56.0|Personal Travel|Eco|423|1|2|5|11|neutral or dissatisfied|17264|False
Male|Loyal Customer|17.0|Personal Travel|Eco|1947|3|2|4|5|neutral or dissatisfied|17265|False
Male|Loyal Customer|62.0|Personal Travel|Eco Plus|369|3|1|3|0|neutral or dissatisfied|17266|False
Male|Loyal Customer|55.0|Business travel|Eco|448|4|4|2|0|satisfied|17267|False
Male|Loyal Customer|31.0|Personal Travel|Eco|964|3|1|2|14|neutral or dissatisfied|17268|False
Female|Loyal Customer|27.0|Business travel|Business|2078|4|4|3|0|satisfied|17269|False
Female|Loyal Customer|54.0|Business travel|Business|2046|5|4|4|0|satisfied|17270|False
Male|Loyal Customer|50.0|Business travel|Business|3955|4|4|4|0|satisfied|17271|False
Female|disloyal Customer|44.0|Business travel|Eco Plus|680|4|3|3|0|neutral or dissatisfied|17272|False
Female|Loyal Customer|54.0|Personal Travel|Eco|1166|5|3|0|0|neutral or dissatisfied|17273|False
Male|Loyal Customer|16.0|Personal Travel|Eco|562|2|5|2|0|neutral or dissatisfied|17274|False
Female|Loyal Customer|31.0|Personal Travel|Eco|735|1|2|5|1|neutral or dissatisfied|17275|False
Female|Loyal Customer|61.0|Personal Travel|Eco|310|5|4|2|85|neutral or dissatisfied|17276|False
Female|Loyal Customer|58.0|Business travel|Business|2486|5|4|4|0|satisfied|17277|False
Male|disloyal Customer|39.0|Business travel|Business|1190|5|5|2|0|neutral or dissatisfied|17278|False
Female|Loyal Customer|67.0|Personal Travel|Eco|936|2|2|3|0|neutral or dissatisfied|17279|False
Male|Loyal Customer|53.0|Business travel|Business|3616|4|5|5|0|satisfied|17280|False
Male|Loyal Customer|41.0|Business travel|Business|696|2|5|5|61|satisfied|17281|False
Male|disloyal Customer|29.0|Business travel|Eco|106|5|4|5|0|neutral or dissatisfied|17282|False
Female|Loyal Customer|12.0|Personal Travel|Eco|644|1|4|1|0|neutral or dissatisfied|17283|False
Female|Loyal Customer|61.0|Personal Travel|Business|1034|5|5|3|0|neutral or dissatisfied|17284|False
Female|Loyal Customer|35.0|Personal Travel|Eco|432|3|1|1|7|neutral or dissatisfied|17285|False
Female|Loyal Customer|57.0|Business travel|Business|1749|3|5|5|0|satisfied|17286|False
Female|Loyal Customer|42.0|Personal Travel|Eco|304|1|3|3|0|neutral or dissatisfied|17287|False
Female|Loyal Customer|38.0|Business travel|Business|1543|1|4|4|9|satisfied|17288|False
Female|Loyal Customer|52.0|Business travel|Business|867|3|5|5|10|satisfied|17289|False
Female|Loyal Customer|46.0|Personal Travel|Eco|364|3|3|3|137|neutral or dissatisfied|17290|False
Male|Loyal Customer|39.0|Business travel|Eco|277|4|5|1|0|satisfied|17291|False
Male|Loyal Customer|64.0|Personal Travel|Eco|347|3|1|3|0|neutral or dissatisfied|17292|False
Female|Loyal Customer|39.0|Business travel|Eco|1179|5|3|2|5|satisfied|17293|False
Male|Loyal Customer|50.0|Business travel|Eco Plus|986|2|3|2|18|satisfied|17294|False
Female|Loyal Customer|10.0|Personal Travel|Eco Plus|448|3|3|5|0|neutral or dissatisfied|17295|False
Female|disloyal Customer|30.0|Business travel|Eco|1136|2|4|5|0|neutral or dissatisfied|17296|False
Male|Loyal Customer|52.0|Personal Travel|Eco|1035|2|5|5|9|neutral or dissatisfied|17297|False
Female|Loyal Customer|55.0|Business travel|Eco|1855|3|2|2|2|neutral or dissatisfied|17298|False
Female|Loyal Customer|44.0|Business travel|Business|189|4|1|1|2|satisfied|17299|False
Male|Loyal Customer|34.0|Personal Travel|Eco|1256|5|4|2|0|neutral or dissatisfied|17300|False
Female|Loyal Customer|16.0|Personal Travel|Eco|594|3|4|5|3|neutral or dissatisfied|17301|False
Male|Loyal Customer|59.0|Personal Travel|Eco|509|2|2|1|0|neutral or dissatisfied|17302|False
Female|Loyal Customer|43.0|Business travel|Business|2226|3|2|2|5|neutral or dissatisfied|17303|False
Female|Loyal Customer|47.0|Business travel|Business|3052|2|5|5|53|satisfied|17304|False
Female|Loyal Customer|25.0|Personal Travel|Eco|1142|4|4|5|5|neutral or dissatisfied|17305|False
Male|Loyal Customer|52.0|Business travel|Business|2178|3|5|5|52|satisfied|17306|False
Female|Loyal Customer|55.0|Business travel|Business|2486|3|5|5|0|satisfied|17307|False
Male|Loyal Customer|57.0|Business travel|Business|224|2|5|5|1|satisfied|17308|False
Female|Loyal Customer|54.0|Business travel|Business|452|4|5|5|0|satisfied|17309|False
Female|Loyal Customer|51.0|Business travel|Business|340|4|5|5|0|satisfied|17310|False
Female|disloyal Customer|39.0|Business travel|Eco|446|2|3|3|4|neutral or dissatisfied|17311|False
Male|Loyal Customer|55.0|Business travel|Business|759|2|5|5|14|satisfied|17312|False
Female|Loyal Customer|68.0|Personal Travel|Eco|787|2|4|4|49|neutral or dissatisfied|17313|False
Female|disloyal Customer|35.0|Business travel|Business|1737|4|3|2|0|neutral or dissatisfied|17314|False
Male|Loyal Customer|42.0|Business travel|Business|3646|4|5|5|0|satisfied|17315|False
Female|Loyal Customer|26.0|Business travel|Business|3717|1|1|4|140|neutral or dissatisfied|17316|False
Male|Loyal Customer|31.0|Personal Travel|Eco|986|3|4|4|0|neutral or dissatisfied|17317|False
Male|Loyal Customer|53.0|Business travel|Business|3913|1|2|2|0|neutral or dissatisfied|17318|False
Female|Loyal Customer|39.0|Business travel|Business|3624|2|2|2|0|neutral or dissatisfied|17319|False
Male|Loyal Customer|42.0|Business travel|Eco|1250|3|3|3|0|satisfied|17320|False
Male|Loyal Customer|64.0|Personal Travel|Business|405|1|4|3|4|neutral or dissatisfied|17321|False
Female|Loyal Customer|57.0|Business travel|Eco|586|4|4|4|0|satisfied|17322|False
Male|Loyal Customer|27.0|Business travel|Eco|680|4|1|3|5|neutral or dissatisfied|17323|False
Female|Loyal Customer|41.0|Business travel|Business|3544|3|5|4|0|satisfied|17324|False
Male|disloyal Customer|10.0|Business travel|Eco|500|2|3|1|27|neutral or dissatisfied|17325|False
Female|disloyal Customer|29.0|Business travel|Business|802|3|4|2|89|neutral or dissatisfied|17326|False
Male|Loyal Customer|50.0|Personal Travel|Eco|524|3|2|1|6|neutral or dissatisfied|17327|False
Male|Loyal Customer|43.0|Business travel|Business|1990|2|4|4|17|satisfied|17328|False
Female|Loyal Customer|58.0|Business travel|Business|3620|4|4|4|0|satisfied|17329|False
Female|Loyal Customer|12.0|Personal Travel|Eco|937|2|4|4|30|neutral or dissatisfied|17330|False
Male|Loyal Customer|37.0|Business travel|Business|230|2|5|5|0|satisfied|17331|False
Female|disloyal Customer|37.0|Business travel|Business|184|4|4|3|0|neutral or dissatisfied|17332|False
Female|Loyal Customer|58.0|Business travel|Business|2521|2|4|4|0|satisfied|17333|False
Male|Loyal Customer|32.0|Personal Travel|Eco|2586|3|3|4|7|neutral or dissatisfied|17334|False
Female|Loyal Customer|35.0|Personal Travel|Eco|89|3|3|2|0|neutral or dissatisfied|17335|False
Female|disloyal Customer|39.0|Business travel|Business|1259|4|3|2|2|neutral or dissatisfied|17336|False
Male|disloyal Customer|36.0|Business travel|Eco|679|3|3|4|0|neutral or dissatisfied|17337|False
Male|Loyal Customer|50.0|Business travel|Business|583|3|4|4|13|satisfied|17338|False
Male|Loyal Customer|33.0|Business travel|Eco Plus|837|4|3|3|0|satisfied|17339|False
Female|Loyal Customer|26.0|Personal Travel|Eco|610|3|3|5|0|neutral or dissatisfied|17340|False
Female|disloyal Customer|40.0|Business travel|Business|677|4|1|3|21|neutral or dissatisfied|17341|False
Female|disloyal Customer|21.0|Business travel|Eco|327|1|4|1|0|neutral or dissatisfied|17342|False
Female|disloyal Customer|26.0|Business travel|Eco|554|1|1|2|57|neutral or dissatisfied|17343|False
Female|Loyal Customer|30.0|Business travel|Business|602|5|5|2|0|satisfied|17344|False
Female|Loyal Customer|30.0|Business travel|Eco|227|4|1|3|0|neutral or dissatisfied|17345|False
Female|Loyal Customer|11.0|Personal Travel|Eco|1371|5|5|3|0|neutral or dissatisfied|17346|False
Female|Loyal Customer|54.0|Business travel|Eco|679|1|2|2|0|neutral or dissatisfied|17347|False
Female|Loyal Customer|40.0|Business travel|Business|1565|4|5|5|66|satisfied|17348|False
Male|Loyal Customer|24.0|Business travel|Business|3849|1|2|1|5|neutral or dissatisfied|17349|False
Female|Loyal Customer|53.0|Business travel|Business|944|4|5|5|0|satisfied|17350|False
Female|Loyal Customer|47.0|Business travel|Business|2291|4|4|4|4|satisfied|17351|False
Female|Loyal Customer|43.0|Business travel|Business|1539|3|5|5|25|satisfied|17352|False
Male|Loyal Customer|25.0|Business travel|Business|3152|3|4|5|0|neutral or dissatisfied|17353|False
Male|Loyal Customer|46.0|Business travel|Business|1242|5|4|4|0|satisfied|17354|False
Female|Loyal Customer|21.0|Personal Travel|Eco|544|2|1|1|0|neutral or dissatisfied|17355|False
Female|Loyal Customer|56.0|Business travel|Business|2349|1|3|3|0|neutral or dissatisfied|17356|False
Male|Loyal Customer|20.0|Personal Travel|Eco|190|3|1|3|62|neutral or dissatisfied|17357|False
Female|Loyal Customer|16.0|Personal Travel|Eco|802|4|3|2|0|neutral or dissatisfied|17358|False
Male|Loyal Customer|36.0|Business travel|Eco|2466|5|4|2|0|satisfied|17359|False
Male|Loyal Customer|42.0|Business travel|Business|2602|2|3|3|30|neutral or dissatisfied|17360|False
Female|Loyal Customer|29.0|Business travel|Business|3072|3|4|2|3|neutral or dissatisfied|17361|False
Female|disloyal Customer|13.0|Business travel|Eco|1218|2|3|4|18|neutral or dissatisfied|17362|False
Male|Loyal Customer|55.0|Personal Travel|Eco Plus|757|4|5|2|0|neutral or dissatisfied|17363|False
Female|Loyal Customer|26.0|Personal Travel|Eco|844|2|3|2|16|neutral or dissatisfied|17364|False
Male|Loyal Customer|61.0|Personal Travel|Eco|733|1|4|3|0|neutral or dissatisfied|17365|False
Female|Loyal Customer|50.0|Business travel|Business|913|4|5|5|11|satisfied|17366|False
Female|disloyal Customer|20.0|Business travel|Eco|954|4|1|3|0|neutral or dissatisfied|17367|False
Female|Loyal Customer|44.0|Personal Travel|Eco|859|3|2|3|0|neutral or dissatisfied|17368|False
Female|Loyal Customer|43.0|Business travel|Business|516|3|5|5|17|satisfied|17369|False
Female|Loyal Customer|69.0|Personal Travel|Eco|594|5|5|2|9|neutral or dissatisfied|17370|False
Female|disloyal Customer|44.0|Business travel|Business|192|4|3|4|5|satisfied|17371|False
Female|disloyal Customer|39.0|Business travel|Business|516|1|2|5|19|neutral or dissatisfied|17372|False
Female|Loyal Customer|11.0|Personal Travel|Eco|1751|5|5|5|0|neutral or dissatisfied|17373|False
Female|Loyal Customer|44.0|Business travel|Eco Plus|2442|5|1|5|1|satisfied|17374|False
Male|Loyal Customer|72.0|Business travel|Business|3996|1|1|1|0|neutral or dissatisfied|17375|False
Female|disloyal Customer|24.0|Business travel|Business|258|3|5|4|5|satisfied|17376|False
Male|disloyal Customer|43.0|Business travel|Eco|1039|4|3|2|33|neutral or dissatisfied|17377|False
Female|Loyal Customer|17.0|Personal Travel|Business|397|5|2|5|50|neutral or dissatisfied|17378|False
Male|Loyal Customer|13.0|Personal Travel|Eco|557|2|4|4|35|neutral or dissatisfied|17379|False
Female|Loyal Customer|68.0|Personal Travel|Eco|162|2|1|3|0|neutral or dissatisfied|17380|False
